Country,Product,Value
Kyrgyzstan,Milk whole fresh cow,1450680
Kuwait,Eggs hen in shell (number),1022360
Kenya,Milk whole fresh cow,3444214
Kazakhstan,Milk whole fresh cow,5141622
Jordan,Eggs hen in shell (number),864357
Japan,Eggs hen in shell (number),42014550
Jamaica,Eggs hen in shell (number),149993
Italy,Eggs hen in shell (number),13093000
Israel,Eggs hen in shell (number),1873559
Ireland,Milk whole fresh cow,6585120
Iraq,Eggs hen in shell (number),565000
Iran (Islamic Republic of),Milk whole fresh cow,5704513
Indonesia,Oil palm,31070015
India,Eggs hen in shell (number),78484000
Iceland,Milk whole fresh cow,146034
Hungary,Eggs hen in shell (number),2554575
Honduras,Coffee green,332747
Guyana,Meat chicken,30678
Guinea,Milk whole fresh cow,182018
Guatemala,Eggs hen in shell (number),5298156
Greece,Eggs hen in shell (number),1377092
Ghana,Cocoa beans,858720
Germany,Milk whole fresh cow,32684572
Georgia,Eggs hen in shell (number),602500
France,Milk whole fresh cow,25068226
Finland,Milk whole fresh cow,2435847
Fiji,Meat chicken,23400
Ethiopia,Milk whole fresh cow,3200283
Estonia,Milk whole fresh cow,782700
El Salvador,Eggs hen in shell (number),1307000
Egypt,Eggs hen in shell (number),8893339
Ecuador,Cocoa beans,180192
Dominican Republic,Milk whole fresh cow,672237
Denmark,Milk whole fresh cow,5356270
Côte d'Ivoire,Cocoa beans,1796000
Czechia,Milk whole fresh cow,3025882
Cyprus,Milk whole fresh cow,163300
Cuba,Eggs hen in shell (number),2321200
Croatia,Milk whole fresh cow,694400
Costa Rica,Milk whole fresh cow,1101721
Colombia,Eggs hen in shell (number),12142582
Chile,Eggs hen in shell (number),3761678
China,Eggs hen in shell (number),97208200
Central African Republic,Coffee green,9050
Canada,Eggs hen in shell (number),8380344
Cabo Verde,Eggs hen in shell (number),45172
Burundi,Milk whole fresh cow,59896
Burkina Faso,Eggs hen in shell (number),1099652
Bulgaria,Eggs hen in shell (number),1273743
Brunei Darussalam,Eggs hen in shell (number),130535
Brazil,Eggs hen in shell (number),45218796
Bosnia and Herzegovina,Eggs hen in shell (number),721607
Bolivia (Plurinational State of),Eggs hen in shell (number),1754273
Bhutan,Eggs hen in shell (number),68000
Benin,Eggs hen in shell (number),250682
Belize,Eggs hen in shell (number),50757
Belgium,Milk whole fresh cow,3988147
Belarus,Milk whole fresh cow,7030200
Barbados,Meat chicken,16134
Azerbaijan,Milk whole fresh cow,1889803
Austria,Milk whole fresh cow,3537757
Australia,Milk whole fresh cow,9489000
Armenia,Milk whole fresh cow,663800
Argentina,Eggs hen in shell (number),12146300
Angola,Coffee green,15000
Algeria,Eggs hen in shell (number),6644517
Albania,Milk whole fresh cow,964000
